"It was a heavy, melancholy day.","அது ஒரு கனமான, துக்க நாள்."
,
ENGLISH,TELUGU
,
The castle was heavily bombed during the war.,యుద్ధ సమయంలో కోటపై భారీగా బాంబు దాడి జరిగింది.
The machinery itself was still pounding on.,యంత్రాలు కూడా ఇంకా కొట్టుకుపోతున్నాయి.
Alexander was standing by the hearth.,అలెగ్జాండర్ పొయ్యి దగ్గర నిలబడి ఉన్నాడు.
"Wilson began, but he got no further.","విల్సన్ ప్రారంభించాడు, కానీ అతనికి మరింత లభించలేదు."
She played brilliantly and with great musical feeling.,ఆమె అద్భుతంగా మరియు గొప్ప సంగీత భావనతో ఆడింది.
Mainhall liked Alexander because he was an engineer.,మెయిన్హాల్ అలెగ్జాండర్ ను ఇష్టపడ్డాడు ఎందుకంటే అతను ఇంజనీర్.
He even leaned forward over the rail a little.,అతను కూడా రైలు మీద కొంచెం ముందుకు వాలిపోయాడు.
They have all grown very smart.,వారంతా చాలా స్మార్ట్ గా ఎదిగారు.
And you have so many flowers.,మరియు మీకు చాలా పువ్వులు ఉన్నాయి.
I like these little yellow flowers.,ఈ చిన్న పసుపు పువ్వులు నాకు చాలా ఇష్టం.
"I have some drinks for you, too.",మీ కోసం నా దగ్గర కొన్ని పానీయాలు కూడా ఉన్నాయి.
"Well, he is still clever and lazy.","బాగా, అతను ఇంకా తెలివైన మరియు సోమరితనం."
We kept walking beside the river.,మేము నది పక్కన నడుస్తూనే ఉన్నాము.
"It was a heavy, melancholy day.","ఇది ఒక భారీ, విచారకరమైన రోజు."
,
ENGLISH,MALAYALAM
,
The castle was heavily bombed during the war.,യുദ്ധസമയത്ത് കോട്ടയ്ക്ക് കനത്ത ബോംബാക്രമണം ഉണ്ടായിരുന്നു.
The machinery itself was still pounding on.,യന്ത്രങ്ങൾ തന്നെ തകർന്നുകൊണ്ടിരുന്നു.
Alexander was standing by the hearth.,അലക്സാണ്ടർ ചൂളയ്ക്കരികിൽ നിൽക്കുകയായിരുന്നു.
"Wilson began, but he got no further.","വിൽസൺ ആരംഭിച്ചു, പക്ഷേ കൂടുതൽ ഒന്നും ലഭിച്ചില്ല."
She played brilliantly and with great musical feeling.,മികച്ച സംഗീത വികാരത്തോടെ അവർ മിഴിവോടെ കളിച്ചു.
Mainhall liked Alexander because he was an engineer.,അലക്സാണ്ടറിനെ എഞ്ചിനീയറായതിനാൽ മെയിൻഹാൾ ഇഷ്ടപ്പെട്ടു.
He even leaned forward over the rail a little.,അയാൾ റെയിലിനു മുകളിലൂടെ അല്പം മുന്നോട്ട് ചാഞ്ഞു.
They have all grown very smart.,അവരെല്ലാം വളരെ മിടുക്കരായി വളർന്നു.
And you have so many flowers.,നിങ്ങൾക്ക് ധാരാളം പൂക്കൾ ഉണ്ട്.
I like these little yellow flowers.,ഈ ചെറിയ മഞ്ഞ പൂക്കൾ എനിക്ക് ഇഷ്ടമാണ്.
"I have some drinks for you, too.",എനിക്കും നിങ്ങൾക്കായി കുറച്ച് പാനീയങ്ങൾ ഉണ്ട്.
"Well, he is still clever and lazy.","ശരി, അവൻ ഇപ്പോഴും ബുദ്ധിമാനും മടിയനുമാണ്."
We kept walking beside the river.,ഞങ്ങൾ നദിക്കരയിൽ നടന്നു.
"It was a heavy, melancholy day.","കനത്ത, ദു lan ഖകരമായ ദിവസമായിരുന്നു അത്."
