,,
,,
,    చటుక్కున పట్టుకుని మింగడం ఎలాగో సాలెపురుగుకి తెలుసు.    ,The spider knows how to catch and swallow.
,"    సమాజంలోని లొసుగుల్ని వలలా అల్లి, అడ్డొచ్చిన వాళ్ళని    ",They are the ones who trap the loopholes in the society and obstruct them
,"    చచ్చేవరకూ వేటాడుతూ, తమ కడుపు నింపుకోవడం ఎలాగో    ","How to fill their stomachs, hunting until death"
,    సాలెపురుగుల్లాంటి కొందరు మనుష్యులకూ తెలుసు.    ,"Some humans, like spiders, know."
, పైగా గాంధీగారు అసత్యం చెప్పరాదు అన్నారన్నావ్.,"Moreover, Gandhi should not lie."
,అయినా నీ శక్తి అపారమని నీకు మాత్రం తెలిదు. ,Yet you do not know that your power is incomprehensible.
,ఆ అభ్యర్ధి యిప్పుడు కంపించడం మొదలుపెట్టాడు.,That candidate is now starting to vibrate.
,,
,,
,Malayalam,
,,
,കേരളത്തിന് വേണ്ടിയുള്ള ഈ ഗാനം കേൾക്കൂ. ,"
Listen to this song for Kerala."
,മുതൽ കെരാണ്ടീഗുഡയിലെ തന്‍റെ.,From his in Kerandiguda.
,ലോകനാഥിന്‍റെ പിതാവ് സ്വന്തമായി ഭൂമിയില്ലാത്ത ഒരു കർഷകത്തൊഴിലാളി ആയിരുന്നു.,Loknath's father was a landless farm laborer.
,അവർ യാക്കുകളെ വളർത്തുന്നുമുണ്ട്.,They also breed yaks.
,ലഡാക്കി ഭാഷയിൽ സൈനിക കൂടാരത്തെയാണ് ഘർ എന്ന് പറയുന്നത്.,Ghar is the Ladakhi military tent.
,അവിടെ ഇപ്പോൾ പുല്ല് വളരാറില്ല.,There is no grass growing there now.
,ഗ്രാമങ്ങളുടെ പ്രതിസന്ധി ഇന്ന് ഗ്രാമങ്ങളില്‍ മാത്രമായി ഒതുങ്ങി നില്‍ക്കുന്നില്ല.,The rural crisis today is not confined to the villages.
,വാര്‍ത്താ മാദ്ധ്യമങ്ങളുടെ കാര്യവും വ്യത്യസ്തമല്ല.,The case of the news media is no different.
,"ഇതാകട്ടെ, കൃഷിയില്‍ മാത്രമായി ഒതുക്കേണ്ടതില്ല.","This, in turn, should not be limited to agriculture."
,നാട്ടിന്‍പുറങ്ങളില്‍ വേദനയും രോഷവും ഉയരുകയാണ്.,Pain and anger are rising in the countryside.
,മാദ്ധ്യമങ്ങള്‍ ഈ പ്രശ്നങ്ങള്‍ സ്പര്‍ശിച്ചുപോകുന്നുണ്ട്,"The media is touching on these issues
"
,പാര്‍ലമെന്‍റ് വളയുന്നതിനായാണ് അവര്‍ പോകുന്നത്. ,"They are going to round up Parliament. .
"
,എന്നാല്‍ അവയില്‍ ഒരു ചര്‍ച്ച പോലും ഇതുവരെ നടന്നിട്ടില്ല. ,"But not a single one of them has been discussed yet.
"
