,,,
,,,
,It’s that time of the year again.,,ഇത് വീണ്ടും വർഷത്തിലെ സമയമാണ്.
,How are you doing?,,എങ്ങിനെ ഇരിക്കുന്നു?
,What should I cook for dinner?,,അത്താഴത്തിന് ഞാൻ എന്ത് പാചകം ചെയ്യണം?
,,,
,,,
,English,,Tamil
,,,
,Can you see me?,,என்னைப் பார்க்க முடியுமா?
,We are not noisy like other animals.,,மற்ற விலங்குகளைப் போல நாங்கள் சத்தமாக இல்லை.
,Danger! Do not go there.,,ஆபத்து! அங்கு செல்ல வேண்டாம்.
,"I love cakes and all kinds of sweets, just like you.",,நான் உன்னைப் போலவே கேக்குகளையும் எல்லா வகையான இனிப்புகளையும் விரும்புகிறேன்.
,Every morning we get ready for school.,,தினமும் காலையில் நாங்கள் பள்ளிக்கு தயாராகிறோம்.
,Rani is a good singer,,ராணி ஒரு நல்ல பாடகி
,Run fast around the room.,,அறையைச் சுற்றி வேகமாக ஓடுங்கள்.
,We walk silently in a line.,,நாங்கள் ஒரு வரியில் அமைதியாக நடக்கிறோம்.
,"I may look very tiny to you, but I am very strong.",,"நான் உங்களுக்கு மிகவும் சிறியதாக தோன்றலாம், ஆனால் நான் மிகவும் வலிமையானவன்."
,Did you Hear?,,நீ கேட்டியா?
,"Can I get a Saree for you, amma?",,"நான் உங்களுக்காக ஒரு சேலை பெறலாமா, அம்மா?"
,The monkey climbed up the tree.,,குரங்கு மரத்தின் மேல் ஏறியது.
,It’s that time of the year again.,,இது மீண்டும் ஆண்டின் நேரம்.
,How are you doing?,,நீங்கள் எப்படி இருக்கிறீர்கள்?
,What should I cook for dinner?,,இரவு உணவிற்கு நான் என்ன சமைக்க வேண்டும்?
,,,
,,,
,English,,Telugu
,,,
,Can you see me?,,మీరు నన్ను చూడగలరా?
,We are not noisy like other animals.,,మేము ఇతర జంతువుల మాదిరిగా శబ్దం చేయము.
,Danger! Do not go there.,,ప్రమాదం! అక్కడకు వెళ్ళవద్దు.
,"I love cakes and all kinds of sweets, just like you.",,నేను మీలాగే కేకులు మరియు అన్ని రకాల స్వీట్లను ప్రేమిస్తున్నాను.
,Every morning we get ready for school.,,ప్రతి ఉదయం మేము పాఠశాలకు సిద్ధమవుతాము.
,Rani is a good singer,,రాణి మంచి గాయని
,Run fast around the room.,,గది చుట్టూ వేగంగా పరుగెత్తండి.
,We walk silently in a line.,,మేము నిశ్శబ్దంగా ఒక వరుసలో నడుస్తాము.
,"I may look very tiny to you, but I am very strong.",,"నేను మీకు చాలా చిన్నదిగా అనిపించవచ్చు, కాని నేను చాలా బలంగా ఉన్నాను."
,Did you Hear?,,మీకు వినబడిందా?
,"Can I get a Saree for you, amma?",,"అమ్మ, నేను మీ కోసం చీర తీసుకోవచ్చా?"
,The monkey climbed up the tree.,,కోతి చెట్టు పైకి ఎక్కాడు.
,It’s that time of the year again.,,ఇది మళ్లీ సంవత్సరం సమయం.
,How are you doing?,,నువ్వు ఎలా ఉన్నావు?
,What should I cook for dinner?,,విందు కోసం నేను ఏమి ఉడికించాలి?
,,,
,,,
,English,,Kannada
,,,
,Can you see me?,,ನೀನು ನನ್ನನ್ನು ನೋಡಲು ಸಾಧ್ಯವೇ?
,We are not noisy like other animals.,,ನಾವು ಇತರ ಪ್ರಾಣಿಗಳಂತೆ ಗದ್ದಲವಿಲ್ಲ.
,Danger! Do not go there.,,ಅಪಾಯ! ಅಲ್ಲಿಗೆ ಹೋಗಬೇಡಿ.
,"I love cakes and all kinds of sweets, just like you.",,ನಾನು ನಿಮ್ಮಂತೆಯೇ ಕೇಕ್ ಮತ್ತು ಎಲ್ಲಾ ರೀತಿಯ ಸಿಹಿತಿಂಡಿಗಳನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ.
,Every morning we get ready for school.,,ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ನಾವು ಶಾಲೆಗೆ ಸಿದ್ಧರಾಗುತ್ತೇವೆ.
,Rani is a good singer,,ರಾಣಿ ಉತ್ತಮ ಗಾಯಕ
,Run fast around the room.,,ಕೋಣೆಯ ಸುತ್ತಲೂ ವೇಗವಾಗಿ ಓಡಿ.
,We walk silently in a line.,,ನಾವು ಒಂದು ಸಾಲಿನಲ್ಲಿ ಮೌನವಾಗಿ ನಡೆಯುತ್ತೇವೆ.
,"I may look very tiny to you, but I am very strong.",,"ನಾನು ನಿಮಗೆ ತುಂಬಾ ಚಿಕ್ಕದಾಗಿ ಕಾಣಿಸಬಹುದು, ಆದರೆ ನಾನು ತುಂಬಾ ಬಲಶಾಲಿ."
,Did you Hear?,,ನಿನಗೆ ಕೇಳಿಸಿತೆ?
,"Can I get a Saree for you, amma?",,"ನಾನು ನಿಮಗಾಗಿ ಸೀರೆಯನ್ನು ಪಡೆಯಬಹುದೇ, ಅಮ್ಮಾ?"
,The monkey climbed up the tree.,,ಕೋತಿ ಮರದ ಮೇಲೆ ಹತ್ತಿತು.
,It’s that time of the year again.,,ಇದು ಮತ್ತೆ ವರ್ಷದ ಸಮಯ.
,How are you doing?,,ನೀವು ಹೇಗಿದ್ದೀರಿ?
,What should I cook for dinner?,,ನಾನು dinner ಟಕ್ಕೆ ಏನು ಬೇಯಿಸಬೇಕು?
