,user-id,text,audioFileName,audioLength,commentMsg,language,AIF,TAADNM,SVIU,ICA,BIN,IA,VIROA
603,683,ఇంత కథ విన్నాక శ్యామనారాయణను.,277519_1,5.308,Incomplete or abruptly ending text;Text is fine;,Telugu,0,0,0,0,0,0,0
604,683,ఇబ్రహీంపట్నం మైలవరం విజయవాడ గ్రామీణ యెర్రుపాలెం.,277518_1,6.332000000000001,Many spelling/grammar errors in text;Too many difficult words in text (not used in day-to-day conversations);,Telugu,0,0,0,0,0,0,0
605,683,తెలవారదేమో స్వామీ పాటలోని దృశ్యం.,277517_1,5.18,Many spelling/grammar errors in text;,Telugu,0,0,0,0,0,0,0
606,683,గాంధీనగర్ లోకసభ నియోజకవర్గంలో అసెంబ్లీ సెగ్మెంట్లు ఉన్నాయి.,277516_1,5.692,Text is fine;,Telugu,0,0,0,0,0,0,0
607,683,చౌదరి చరణ్ సింగ్ అంతర్జాతీయ విమానాశ్రయం లక్నో.,277515_1,6.204,Too many difficult words in text (not used in day-to-day conversations);,Telugu,0,0,0,0,0,0,0
608,683,విస్సన్నపేట చాట్రాయి తిరువూరు పెనుబల్లి.,277514_1,6.0760000000000005,Incomplete or abruptly ending text;Many spelling/grammar errors in text;,Telugu,0,0,0,0,0,0,0
609,683,యల్లయ్యపేట తూర్పు గోదావరి జిల్లా తొండంగి మండలానికి చెందిన గ్రామము.,277513_1,7.612,Text is fine;,Telugu,0,0,0,0,0,0,0
610,683,పోస్టాఫీసు గ్రామంలో లేదు సమీపపోస్టాఫీసుగ్రామానికి నుంచి కిలోమీటర్ల లోపే ఉంది.,277512_1,7.74,Incomplete or abruptly ending text;Many spelling/grammar errors in text;Too many difficult words in text (not used in day-to-day conversations);Text is fine;,Telugu,0,0,0,0,0,0,0
611,683,ఈ గ్రామం వెంకటాపురం గ్రామ పంచాయతీకి శివారు గ్రామం.,277511_1,5.692,Text is fine;,Telugu,0,0,0,0,0,0,0
612,683,ఆరాధన గుడారం నిర్మాణం –.,277510_1,5.18,Incomplete or abruptly ending text;,Telugu,0,0,0,0,0,0,0
613,683,మానవుడు ఆలోచనతోనే మనిషిగా మారతాడు.,277509_1,5.564,Text too long;,Telugu,0,0,0,0,0,0,0
614,683,కంప్యూటర్ సైన్స్ ఇంజనీరింగ్ విభాగం.,277508_1,4.668,Text is fine;,Telugu,0,0,0,0,0,0,0
615,683,ఇది చెరగని ప్రేమకు శ్రీకారం.,277507_1,4.668,Text is fine;,Telugu,0,0,0,0,0,0,0
616,683,అత్రి గోత్రము డెబ్భై ఐదు వంశాలు.,277506_1,5.308,Many spelling/grammar errors in text;,Telugu,0,0,0,0,0,0,0
617,683,బొమ్మ యొక్క కొత్త కూర్పును అప్‌లోడు చేసాం.,277505_1,5.692,Text is fine;,Telugu,0,0,0,0,0,0,0
618,683,దక్షిణ మధ్య రైల్వేదక్షిణ మధ్య రైల్వే జోన్.,277504_1,5.692,Too many difficult words in text (not used in day-to-day conversations);,Telugu,0,0,0,0,0,0,0
619,683,గ్రంధకము మాత్రమే కార్బన్ తరువాత పెద్ద సంఖ్యలో రూపాంతరాలు కల్గి వున్న ఆలోహము.,277503_1,7.74,Incomplete or abruptly ending text;Many spelling/grammar errors in text;Text too long;,Telugu,0,0,0,0,0,0,0
620,683,పూజ పూర్తి సినిమా ఆన్ లైన్ వాచ్ మూవీస్ లో చూడండి.,277502_1,5.82,Text is fine;,Telugu,0,0,0,0,0,0,0
621,683,క ఓ పుండరీక లోచన.,277501_1,5.9479999999999995,Incomplete or abruptly ending text;Many spelling/grammar errors in text;,Telugu,0,0,0,0,0,0,0
622,683,చాలా సందర్భాలలో ఉత్తమ ఎంపిక కంప్రెషన్ రేషియో ఉంటుంది.,277500_1,6.716,Text too long;,Telugu,0,0,0,0,0,0,0
623,683,మచిలీపట్నం పెడన గుడివాడ మొగల్తూరు.,277499_1,5.308,Text is fine;,Telugu,0,0,0,0,0,0,0
624,683,వేల మంది ఉద్యోగులు నిఘా వ్యవస్థ.,277498_1,4.284,Text is fine;,Telugu,0,0,0,0,0,0,0
625,683,ఫ్లో ప్రాజెక్టు యొక్క ప్రధాన లక్ష్యాలు.,277497_1,5.052,Text is fine;,Telugu,0,0,0,0,0,0,0
626,683,గానుగుబండకరివిరాలవెలుగ్పల్లికేసవాపురంసంగంగోపాలపురంగండమళ్ళవాసాలమర్రిచిన్నలక్ష్మాపురంనాగాయిపల్లిమాధాపురంములకలపల్లిరుస్తాపురంవెంకటాపూర్వేల్పుపల్లికొంతాలపల్లిదుగ్గేపల్లికామారెడ్డిగూడెంపల్లికంపాలపల్లిగాజలాపూర్అభంగాపురంపెద్దదేవులపల్లి నల్గొండ జిల్లా పెద్దవూర మండలానికి చెందిన గ్రామము.,277496_1,39.356,Incomplete or abruptly ending text;Many spelling/grammar errors in text;Text too long;Too many difficult words in text (not used in day-to-day conversations);,Telugu,0,0,0,0,0,0,0
627,683,వేర్వేరు సంవత్సరాలలో తేదీలను ఒక నిమిషం లో చెప్పడం.,277495_1,6.332000000000001,Text too long;,Telugu,0,0,0,0,0,0,0
628,683,బిందు సేద్యం యొక్క ప్రయోజనాలు.,277494_1,3.772,Text is fine;,Telugu,0,0,0,0,0,0,0
629,683,మూనా మూసను ఉదాహరణగా తీసుకుని మూసను ఎలా వాడాలో చెప్పడం.,277493_1,7.228,Too many difficult words in text (not used in day-to-day conversations);Text is fine;,Telugu,0,0,0,0,0,0,0
630,683,నుండి సియాటెల్ కార్పొరేట్ నగరంగా ఉంది.,277492_1,5.052,Incomplete or abruptly ending text;,Telugu,0,0,0,0,0,0,0
631,683,తెలుగు యూనివర్సిటీ వారి ఆనరరీ డాక్టరేట్.,277491_1,5.564,Many spelling/grammar errors in text;Too many difficult words in text (not used in day-to-day conversations);,Telugu,0,0,0,0,0,0,0
632,683,ఈనాడు గుంటూరు సిటీ జులై వ పేజీ.,277490_1,6.332000000000001,Incomplete or abruptly ending text;Many spelling/grammar errors in text;,Telugu,0,0,0,0,0,0,0
633,683,విసత్యారావు స్వర్ణలత పాతస్వర్ణలత వసంత.,277489_1,6.972,Text too long;Text is fine;,Telugu,0,0,0,0,0,0,0
634,683,గుంటూరులో అయ్యంకి వెంకటరమణయ్య అవార్డు.,277488_1,5.18,Text too long;,Telugu,0,0,0,0,0,0,0
635,683,బాదం సరోజినీ దేవి స్మారక పురస్కారం.,277487_1,5.692,Text is fine;,Telugu,0,0,0,0,0,0,0
636,683,· · · · · ·.,277486_1,3.388,Incomplete or abruptly ending text;Many spelling/grammar errors in text;Too many difficult words in text (not used in day-to-day conversations);,Telugu,0,0,0,0,0,0,0
637,683,లో దోమా వేంకటస్వామిగుప్త స్థాపించాడు.,277485_1,5.9479999999999995,Incomplete or abruptly ending text;Many spelling/grammar errors in text;,Telugu,0,0,0,0,0,0,0
638,683,కేంద్రీయ ఎలక్ట్రానిక్స్ ఇంజనీరింగ్ పరిశోధనా సంస్థానం పిలాని.,277484_1,6.332000000000001,Many spelling/grammar errors in text;Too many difficult words in text (not used in day-to-day conversations);,Telugu,0,0,0,0,0,0,0
639,683,క్రతువు చూచి వర్ష – రుతువు రాదు.,277483_1,4.54,Text is fine;,Telugu,0,0,0,0,0,0,0
640,683,అధికారి హోదా కొరకు వినతి.,277482_1,4.9239999999999995,Text is fine;,Telugu,0,0,0,0,0,0,0
641,683,శ్రీ వేంకటేశ్వర స్వామి దేవాలయం నారాయణ తిరుమల.,277481_1,5.692,Too many difficult words in text (not used in day-to-day conversations);Text is fine;,Telugu,0,0,0,0,0,0,0
